latitude,longitude,scientific_name
47.9684829444,24.0226535556,Salamandra salamandra
48.2600134332,23.6225710994,Salamandra salamandra
48.2421607041,24.0208854254,Salamandra salamandra
48.801282553,22.7130612731,Salamandra salamandra
49.05039,23.675595,Salamandra salamandra
47.9354303508,24.2480085448,Salamandra salamandra
47.9693400845,24.0220794209,Salamandra salamandra
48.0289909722,23.084676,Salamandra salamandra
48.5084033333,23.40038,Salamandra salamandra
48.660855,23.2805033333,Salamandra salamandra
49.3006600774,23.7136053666,Salamandra salamandra
48.4565605785,24.3931771745,Salamandra salamandra
48.5172329055,24.5717913723,Salamandra salamandra
49.0697418,22.58813496,Salamandra salamandra
48.39886954,23.07453563,Salamandra salamandra
48.0979935033,25.2956986427,Salamandra salamandra
48.0677083333,25.2856666667,Salamandra salamandra salamandra
47.9724944444,25.3801,Salamandra salamandra
47.9725055556,25.3801055556,Salamandra salamandra
47.9725060477,25.380106084,Salamandra salamandra
47.9735919885,25.3808768839,Salamandra salamandra
47.9831166667,25.3818305556,Salamandra salamandra
47.9831055556,25.3819361111,Salamandra salamandra
48.112126548,25.3838551417,Salamandra salamandra
48.1120520041,25.383836031,Salamandra salamandra
48.1120517803,25.383836031,Salamandra salamandra
49.0994055556,23.5176333333,Salamandra salamandra
48.3465546714,24.5627704215,Salamandra salamandra
47.9778750528,25.0660182873,Salamandra salamandra salamandra
48.5241394043,22.8300552368,Salamandra salamandra
48.5213975576,22.8304930851,Salamandra salamandra
47.97102169,24.18778013,Salamandra salamandra
47.97453098,24.17419449,Salamandra salamandra
48.6386349339,22.3859595135,Salamandra salamandra
48.391525,23.6593333333,Salamandra salamandra
48.3770188865,23.6311147855,Salamandra salamandra
48.6538279722,23.2658379722,Salamandra salamandra
48.6148673941,24.185173586,Salamandra salamandra
48.0577831252,23.32065348,Salamandra salamandra
48.265016,23.8922109722,Salamandra salamandra
48.2652448997,23.8923495,Salamandra salamandra
48.2735369722,23.969304,Salamandra salamandra
48.4504476355,24.6396943554,Salamandra salamandra
48.386556,24.518492,Salamandra salamandra
49.03003,22.706946,Salamandra salamandra
47.9692222297,24.0220702024,Salamandra salamandra
48.3866614753,23.0974245071,Salamandra salamandra
48.4008233823,23.0981651321,Salamandra salamandra salamandra
48.388148,23.1093979722,Salamandra salamandra
48.389279,23.1085029722,Salamandra salamandra
48.4047049722,23.0852369722,Salamandra salamandra
48.402425,23.090588,Salamandra salamandra
48.3903409722,23.107568,Salamandra salamandra
49.045814,23.4876339722,Salamandra salamandra
49.0169726776,23.4916781589,Salamandra salamandra
48.9827912998,22.5231860527,Salamandra salamandra
48.480389753,24.5849984139,Salamandra salamandra
47.9371576245,24.1066893119,Salamandra salamandra
48.8206800997,24.0580582,Salamandra salamandra
48.6928630648,23.1930402294,Salamandra salamandra
48.767789,22.7723769722,Salamandra salamandra
48.7482889722,22.7714449722,Salamandra salamandra
48.748116,22.7714069722,Salamandra salamandra
48.7542789722,22.771791,Salamandra salamandra
48.754212,22.772214,Salamandra salamandra
48.4534587324,24.602788576,Salamandra salamandra
48.4522355702,24.5724697132,Salamandra salamandra
48.3695357141,24.3965890248,Salamandra salamandra
47.993008087,25.2774798372,Salamandra salamandra
48.9420137243,22.4697634509,Salamandra salamandra
48.4228095833,23.7080898056,Salamandra salamandra
48.4000351673,24.4352785125,Salamandra salamandra
48.3676533333,24.60728,Salamandra salamandra
48.3944166667,24.5552333333,Salamandra salamandra
48.374845,24.5449833333,Salamandra salamandra
48.3674133333,24.5435166667,Salamandra salamandra
48.2971054336,24.5859284699,Salamandra salamandra
48.3064933415,24.5671503669,Salamandra salamandra
48.2992442464,24.5868210191,Salamandra salamandra
48.303718703,24.5687574637,Salamandra salamandra
48.3066911417,24.5474481463,Salamandra salamandra
48.4815669796,24.2912888154,Salamandra salamandra
48.7853915997,22.7681959997,Salamandra salamandra
49.0012638991,23.574061431,Salamandra salamandra
47.9567005,23.869075,Salamandra salamandra
48.6198836814,24.2203607282,Salamandra salamandra
48.1287308081,24.9821852893,Salamandra salamandra
49.0250091389,23.6332225556,Salamandra salamandra
47.937307789,24.1071502545,Salamandra salamandra
48.442622,24.543722,Salamandra salamandra
48.429564294,24.4309987128,Salamandra salamandra
48.4129166667,23.6840888889,Salamandra salamandra
48.4750845861,23.6932096477,Salamandra salamandra
48.7790536985,22.9722426791,Salamandra salamandra
48.25608783,23.67665202,Salamandra salamandra
48.24502579,23.6936569,Salamandra salamandra
48.4939003265,23.6314604752,Salamandra salamandra
48.6436607664,24.5596710115,Salamandra salamandra
48.5529487335,23.7174501281,Salamandra salamandra
48.562460801,23.7236250945,Salamandra salamandra
48.360056527,24.4238859428,Salamandra salamandra
48.6563859149,23.2689685374,Salamandra salamandra
48.329571,24.415775,Salamandra salamandra
48.3274116389,24.4137706667,Salamandra salamandra
48.1878178272,23.0819484964,Salamandra salamandra
48.712106329,23.1813466452,Salamandra salamandra
49.2508675206,23.315574266,Salamandra salamandra
49.2506287537,23.3175272495,Salamandra salamandra
48.4147824027,23.6814942956,Salamandra salamandra
48.4262193594,24.6181749925,Salamandra salamandra
48.4172583333,24.6211083333,Salamandra salamandra
48.0073098695,24.1845180949,Salamandra salamandra
48.0267320641,23.0666347593,Salamandra salamandra
48.163206,24.2848609722,Salamandra salamandra
48.389893016,24.5018998906,Salamandra salamandra
48.0349484408,23.0774665251,Salamandra salamandra
48.5660842239,24.0438144654,Salamandra salamandra
48.68045,22.4157966667,Salamandra salamandra
48.0259900328,24.1666077149,Salamandra salamandra
48.7101368438,22.7320280612,Salamandra salamandra
48.8011819803,22.7492702163,Salamandra salamandra
48.594293,22.6824526,Salamandra salamandra
48.0550424209,24.0519307219,Salamandra salamandra
48.4020104676,23.1730054691,Salamandra salamandra
47.9416121932,24.1197997134,Salamandra salamandra
48.2996209126,24.5834045112,Salamandra salamandra
48.680972,22.413028,Salamandra salamandra
48.0988566667,24.6726516667,Salamandra salamandra
48.6567931377,23.29443746,Salamandra salamandra
47.93731082,24.10706175,Salamandra salamandra
48.623475,24.218755,Salamandra salamandra
48.1878178272,23.0819484964,Salamandra salamandra
48.1961385613,23.0803244188,Salamandra salamandra
48.2793825767,24.9399717013,Salamandra salamandra
48.3636377071,24.8931914154,Salamandra salamandra
48.6539416667,23.2671333333,Salamandra salamandra
48.4121826951,24.6098554507,Salamandra salamandra
48.2731161,23.3041049,Salamandra salamandra
49.2368809236,23.3635878568,Salamandra salamandra
48.2904733333,23.9118916667,Salamandra salamandra
48.29055,23.9116716667,Salamandra salamandra
49.034791623,23.5705544571,Salamandra salamandra
48.2864569444,23.9561388889,Salamandra salamandra
48.211605,25.0542916667,Salamandra salamandra
48.2117166667,25.0544416667,Salamandra salamandra
48.2109216667,25.0551361667,Salamandra salamandra
48.4005977,24.8194552,Salamandra salamandra
48.2074796097,25.1656939834,Salamandra salamandra
48.280656,23.885669,Salamandra salamandra
48.68133,23.6861466667,Salamandra salamandra
48.3620846326,24.5014362552,Salamandra salamandra
48.4286116667,24.5688883333,Salamandra salamandra
48.4479642822,24.530525431,Salamandra salamandra
48.3464111111,24.5060666667,Salamandra salamandra
48.8256388889,22.9869444444,Salamandra salamandra
48.8084527778,22.9539916667,Salamandra salamandra
48.7717833333,23.0008111111,Salamandra salamandra
48.82568,22.9869916667,Salamandra salamandra
48.4059674965,24.6043549877,Salamandra salamandra
49.0144638889,24.5868388889,Salamandra salamandra
48.524295,22.874661,Salamandra salamandra
48.8217083333,22.7937866667,Salamandra salamandra
48.4930190833,24.3098106111,Salamandra salamandra
48.4490421885,24.3312061206,Salamandra salamandra
49.05027694,23.48096155,Salamandra salamandra
49.1778100639,23.4526430206,Salamandra salamandra
49.1772383333,23.45135,Salamandra salamandra
49.02249167,23.87856389,Salamandra salamandra
48.0368933333,24.0449833333,Salamandra salamandra
48.3599711412,24.3913879919,Salamandra salamandra
